Market,Pair,Total Quantity,Remaining Quantity,Price Per Unit,Avg Price,Fee Amount,Side,Order Type,Status,Exchnage code,Created At,Updated At
DOGEINR,I-DOGE_INR,10.0,10.0,24.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-08 06:12:25 UTC,2021-06-08 14:09:38 UTC
MATICINR,I-MATIC_INR,10.0,0.0,106.0,106.0,1.06,buy,limit_order,filled,I,2021-06-08 13:30:23 UTC,2021-06-08 14:06:22 UTC
MATICINR,I-MATIC_INR,2.0,0.0,107.4,107.4,0.2148,buy,limit_order,filled,I,2021-06-08 13:57:14 UTC,2021-06-08 13:57:14 UTC
MATICINR,I-MATIC_INR,10.0,0.0,107.1,107.1,1.071,buy,limit_order,filled,I,2021-06-08 13:40:00 UTC,2021-06-08 13:57:12 UTC
MATICINR,I-MATIC_INR,30.0,0.0,107.2,107.2,3.216,buy,limit_order,filled,I,2021-06-08 08:18:30 UTC,2021-06-08 13:28:30 UTC
MATICINR,I-MATIC_INR,15.0,0.0,108.0,108.0,1.62,buy,limit_order,filled,I,2021-06-08 08:19:04 UTC,2021-06-08 13:24:24 UTC
MATICINR,I-MATIC_INR,15.0,0.0,109.0,109.0,1.635,buy,limit_order,filled,I,2021-06-08 12:07:18 UTC,2021-06-08 13:19:37 UTC
MATICINR,I-MATIC_INR,10.0,0.0,110.0,110.0,1.1,buy,limit_order,filled,I,2021-06-08 10:33:23 UTC,2021-06-08 10:49:28 UTC
ETHINR,I-ETH_INR,0.0017,0.0,191000.0,191000.0,0.3247,buy,limit_order,filled,I,2021-06-08 08:02:46 UTC,2021-06-08 10:31:44 UTC
MATICINR,I-MATIC_INR,40.0,40.0,109.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-08 08:16:36 UTC,2021-06-08 08:17:26 UTC
ADAINR,I-ADA_INR,1.0,0.0,115.0,115.0,0.115,buy,limit_order,filled,I,2021-06-08 06:07:09 UTC,2021-06-08 07:05:55 UTC
MATICINR,I-MATIC_INR,1.0,0.0,108.0,108.0,0.108,buy,limit_order,filled,I,2021-06-08 06:09:16 UTC,2021-06-08 07:01:18 UTC
MATICINR,I-MATIC_INR,2.0,0.0,109.0,109.0,0.218,buy,limit_order,filled,I,2021-06-08 04:51:23 UTC,2021-06-08 05:26:33 UTC
MATICINR,I-MATIC_INR,1.0,0.0,112.0,112.0,0.112,buy,limit_order,filled,I,2021-06-08 04:22:36 UTC,2021-06-08 04:42:48 UTC
MATICINR,I-MATIC_INR,1.0,0.0,114.3,114.3,0.1143,buy,limit_order,filled,I,2021-06-08 04:11:30 UTC,2021-06-08 04:11:30 UTC
BATINR,I-BAT_INR,2.0,0.0,55.0,55.0,0.11,buy,limit_order,filled,I,2021-06-04 07:47:32 UTC,2021-06-07 21:15:50 UTC
DOGEINR,I-DOGE_INR,20.0,0.0,26.0,26.0,0.52,buy,limit_order,filled,I,2021-06-04 18:07:09 UTC,2021-06-07 21:15:47 UTC
DOGEINR,I-DOGE_INR,15.0,0.0,27.0,27.0,0.405,buy,limit_order,filled,I,2021-06-04 18:06:59 UTC,2021-06-07 20:48:54 UTC
MATICINR,I-MATIC_INR,1.0,0.0,120.0,120.0,0.12,buy,limit_order,filled,I,2021-06-04 18:08:17 UTC,2021-06-05 20:48:20 UTC
MATICINR,I-MATIC_INR,1.0,0.0,122.0,122.0,0.122,buy,limit_order,filled,I,2021-06-05 11:18:18 UTC,2021-06-05 11:42:35 UTC
BATINR,I-BAT_INR,5.0,5.0,52.1,0.0,0.0,buy,limit_order,cancelled,I,2021-06-01 15:46:25 UTC,2021-06-04 18:07:49 UTC
DOGEINR,I-DOGE_INR,35.0,35.0,26.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 19:38:10 UTC,2021-06-04 18:06:41 UTC
DOGEINR,I-DOGE_INR,8.0,0.0,27.0,27.0,0.216,buy,limit_order,filled,I,2021-06-02 19:38:24 UTC,2021-06-04 12:10:59 UTC
DOGEINR,I-DOGE_INR,10.0,0.0,27.3,27.3,0.273,buy,limit_order,filled,I,2021-06-04 11:32:42 UTC,2021-06-04 12:04:25 UTC
DOGEINR,I-DOGE_INR,10.0,0.0,27.8,27.8,0.278,buy,limit_order,filled,I,2021-06-04 07:46:33 UTC,2021-06-04 08:01:48 UTC
MATICINR,I-MATIC_INR,1.0,0.0,125.0,125.0,0.125,buy,limit_order,filled,I,2021-06-04 05:34:52 UTC,2021-06-04 05:35:01 UTC
DOGEINR,I-DOGE_INR,14.0,14.0,28.4,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 19:37:00 UTC,2021-06-04 04:45:19 UTC
MATICINR,I-MATIC_INR,1.0,0.0,128.9,128.9,0.1289,buy,limit_order,filled,I,2021-06-04 01:38:13 UTC,2021-06-04 01:38:13 UTC
ADAINR,I-ADA_INR,5.0,0.0,132.0,132.0,0.66,buy,limit_order,filled,I,2021-06-03 06:11:22 UTC,2021-06-04 01:17:08 UTC
DOGEINR,I-DOGE_INR,22.0,0.0,29.0,29.0,0.638,buy,limit_order,filled,I,2021-06-03 03:24:50 UTC,2021-06-04 01:16:33 UTC
DOGEINR,I-DOGE_INR,20.0,0.0,30.0,30.0,0.6,buy,limit_order,filled,I,2021-06-03 03:24:18 UTC,2021-06-03 17:54:15 UTC
DOGEINR,I-DOGE_INR,50.0,50.0,25.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 19:36:22 UTC,2021-06-03 03:23:09 UTC
MATICINR,I-MATIC_INR,2.0,0.0,137.0,137.0,0.274,buy,limit_order,filled,I,2021-06-02 19:31:23 UTC,2021-06-03 02:32:15 UTC
DOGEINR,I-DOGE_INR,43.0,43.0,26.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 10:57:34 UTC,2021-06-02 19:38:00 UTC
DOGEINR,I-DOGE_INR,60.0,60.0,25.0,0.0,0.0,buy,limit_order,cancelled,I,2021-06-02 09:54:29 UTC,2021-06-02 19:36:02 UTC
